1,7770,16
2,6364,42
3,9337,28
4,9968,7
5,5795,21
6,10036,33
7,8902,34
8,1783,37
9,5992,9
10,10888,11
11,6121,27
12,8495,9
13,4846,1
14,8403,31
15,8018,29
16,3589,24
17,2583,36
18,9317,98
19,4512,15
20,9228,10
21,8519,14
22,8048,25
23,6736,15
24,9267,21
25,7282,98
26,7132,28
27,7573,42
28,6425,21
29,5473,33
30,1147,15
31,9914,6
32,7540,16
33,4684,23
34,8123,15
35,6470,10
36,4159,94
37,6827,93
38,10847,51
39,7088,45
40,9171,35
41,8362,29
42,9175,40
43,9971,6
44,8746,14
45,4086,58
46,8683,80
47,4522,32
48,7942,10
49,5379,6
50,7669,44
51,6536,7
52,8150,13
53,6152,39
54,7214,21
55,6806,37
56,6805,16
57,10548,95
58,3964,20
59,6473,31
60,7678,44
61,8548,82
62,1085,27
63,6297,38
64,8554,24
65,3374,37
66,5957,25
67,4059,78
68,7431,15
69,1302,36
70,8300,14
71,4708,30
72,3563,29
73,5022,22
74,6456,20
75,2175,90
76,6397,5
77,6741,37
78,7979,2
79,9984,28
80,1064,17
81,5702,9
82,9182,20
83,4775,10
84,9329,31
85,6205,81
86,8920,14
87,2417,31
88,8083,36
89,7954,13
90,5290,29
91,10684,96
92,9414,26
93,6429,19
94,7360,24
95,8958,51
96,5185,21
97,2760,3
98,6209,16
99,6727,12
100,4563,16
101,4908,41
102,6454,10
103,8578,26
104,5650,46
105,9216,7
106,8668,19
107,8040,18
108,7222,36
109,8991,21
110,4706,28
111,8027,13
112,8786,19
113,3386,87
114,9730,35
115,3925,43
116,6883,21
117,6087,69
118,9640,6
119,5194,26
120,5487,15
121,9166,17
122,8034,31
123,7095,24
124,8753,37
125,10905,1
126,7875,14
127,6431,22
128,5043,25
129,9860,40
130,4445,31
131,5833,28
132,6154,18
133,5537,4
134,7387,37
135,7954,36
136,5062,14
137,6168,12
138,5459,20
139,6427,8
140,8112,24
141,8033,16
142,7041,11
143,9477,21
144,5625,39
145,4379,14
146,6111,33
147,5892,16
148,8006,35
149,7068,28
150,7429,79
151,6312,17
152,7147,23
153,7925,16
154,9291,5
155,9235,100
156,7920,10
157,6862,34
158,7692,12
159,4579,32
160,9181,3
161,4227,19
162,9060,1
163,8055,2
164,7158,30
165,3838,5
166,9119,19
167,5766,29
168,7135,100
169,8047,33
170,8587,17
171,5056,48
172,7967,47
173,5664,28
174,8060,38
175,6147,35
176,6152,28
177,7724,22
178,3662,11
179,8277,39
180,9280,14
181,5662,2
182,2889,67
183,8029,40
184,4163,25
185,8746,25
186,7579,99
187,6634,11
188,8520,13
189,7905,21
190,4385,33
191,10537,24
192,4748,24
193,5417,44
194,5993,42
195,7736,99
196,7663,25
197,5875,3
198,7242,12
199,6501,98
200,6149,11
201,7411,23
202,8168,76
203,9492,7
204,7380,19
205,6976,8
206,9186,14
207,5867,10
208,8598,18
209,6350,1
210,7047,18
211,6330,14
212,9590,94
213,4594,5
214,2364,97
215,4851,34
216,8523,36
217,6679,36
218,9478,30
219,7451,31
220,9202,34
221,5737,3
222,6569,9
223,4277,28
224,5381,38
225,7653,57
226,6532,19
227,9569,20
228,8357,55
229,6989,40
230,5653,37
231,4882,91
232,4399,14
233,9000,46
234,8393,14
235,5453,8
236,9331,12
237,7109,52
238,8206,11
239,1527,13
240,6606,24
241,3957,7
242,7594,21
243,9016,15
244,7710,18
245,2751,46
246,8637,23
247,5622,45
248,9757,35
249,7715,7
250,2975,23
